impl,algo,p,qubits,seed,wall_s,peak_rss_kb,duration_ms,duration_us,nodes,edges,total,correct,status
rust,bv,1,2,1,0.00,4252,0,68,6,9,15,1,ok
cpp,bv,1,2,1,0.38,866416,1,,11,63,74,1,ok
rust,bv,2,4,1,0.00,4228,0,104,10,19,29,1,ok
cpp,bv,2,4,1,0.39,866772,1,,15,85,100,1,ok
rust,bv,3,8,1,0.00,4368,0,129,16,35,51,1,ok
cpp,bv,3,8,1,0.38,867204,2,,21,125,146,1,ok
rust,bv,4,16,1,0.00,4324,0,287,23,54,77,1,ok
cpp,bv,4,16,1,0.38,867132,2,,30,179,209,1,ok
rust,bv,5,32,1,0.00,4320,0,606,33,82,115,1,ok
cpp,bv,5,32,1,0.40,866476,2,,39,233,272,1,ok
rust,bv,6,64,1,0.00,4704,0,948,45,116,161,1,ok
cpp,bv,6,64,1,0.40,867096,2,,53,317,370,1,ok
rust,bv,7,128,1,0.00,5276,,,,,,na,exit101
cpp,bv,7,128,1,0.39,867868,3,,75,449,524,1,ok
cpp,bv,8,256,1,0.39,867884,4,,111,665,776,1,ok
