impl,algo,p,qubits,seed,wall_s,peak_rss_kb,duration_ms,duration_us,nodes,edges,total,correct,verified,status
rust-bigint,grover-big,2,4,1,0.00,4420,0,691,6,9,15,1,1,ok
rust-bigint,grover-big,2,4,2,0.00,4896,0,708,6,9,15,1,1,ok
rust-bigint,grover-big,2,4,3,0.00,4896,0,769,6,9,15,1,1,ok
rust-bigint,grover-big,2,4,4,0.00,5088,0,275,5,6,11,1,1,ok
rust-bigint,grover-big,2,4,5,0.00,5080,0,306,6,9,15,1,1,ok
rust-bigint,grover-big,2,4,6,0.00,4928,0,506,5,6,11,1,1,ok
rust-bigint,grover-big,2,4,7,0.00,4832,0,447,6,9,15,1,1,ok
rust-bigint,grover-big,2,4,8,0.00,4860,0,273,6,9,15,1,1,ok
rust-bigint,grover-big,2,4,9,0.00,4688,0,306,6,9,15,1,1,ok
rust-bigint,grover-big,2,4,10,0.00,4920,0,265,5,6,11,1,1,ok
rust-bigint,grover-big,3,8,1,0.00,4832,0,842,10,18,28,1,1,ok
rust-bigint,grover-big,3,8,2,0.00,4868,0,587,10,18,28,1,1,ok
rust-bigint,grover-big,3,8,3,0.00,4692,0,667,10,18,28,1,1,ok
rust-bigint,grover-big,3,8,4,0.00,4812,0,714,9,15,24,1,1,ok
rust-bigint,grover-big,3,8,5,0.00,4724,0,549,10,18,28,1,1,ok
rust-bigint,grover-big,3,8,6,0.00,4544,0,515,9,15,24,1,1,ok
rust-bigint,grover-big,3,8,7,0.00,4480,0,953,9,15,24,1,1,ok
rust-bigint,grover-big,3,8,8,0.00,4872,0,662,10,18,28,1,1,ok
rust-bigint,grover-big,3,8,9,0.00,4796,0,564,9,15,24,1,1,ok
rust-bigint,grover-big,3,8,10,0.00,4772,0,621,9,15,24,1,1,ok
rust-bigint,grover-big,4,16,1,0.00,5076,1,1177,15,30,45,1,1,ok
rust-bigint,grover-big,4,16,2,0.00,5052,1,1245,16,33,49,1,1,ok
rust-bigint,grover-big,4,16,3,0.00,4804,1,1202,15,30,45,1,1,ok
rust-bigint,grover-big,4,16,4,0.00,4784,0,902,13,24,37,1,1,ok
rust-bigint,grover-big,4,16,5,0.00,4824,1,1933,16,33,49,1,1,ok
rust-bigint,grover-big,4,16,6,0.00,4744,2,2564,16,33,49,1,1,ok
rust-bigint,grover-big,4,16,7,0.00,4564,1,1687,16,33,49,1,1,ok
rust-bigint,grover-big,4,16,8,0.00,4632,1,1649,16,33,49,1,1,ok
rust-bigint,grover-big,4,16,9,0.00,4788,2,2185,14,27,41,1,1,ok
rust-bigint,grover-big,4,16,10,0.00,4916,1,1151,16,33,49,1,1,ok
rust-bigint,grover-big,5,32,1,0.00,5044,1,1973,23,51,74,1,1,ok
rust-bigint,grover-big,5,32,2,0.00,5116,1,1903,24,54,78,1,1,ok
rust-bigint,grover-big,5,32,3,0.00,5008,2,2007,24,54,78,1,1,ok
rust-bigint,grover-big,5,32,4,0.00,4828,1,1961,22,48,70,1,1,ok
rust-bigint,grover-big,5,32,5,0.00,4856,1,1947,25,57,82,1,1,ok
rust-bigint,grover-big,5,32,6,0.00,5080,1,1934,25,57,82,1,1,ok
rust-bigint,grover-big,5,32,7,0.00,4856,2,2031,25,57,82,1,1,ok
rust-bigint,grover-big,5,32,8,0.00,5068,4,4414,25,57,82,1,1,ok
rust-bigint,grover-big,5,32,9,0.00,5032,4,4243,24,54,78,1,1,ok
rust-bigint,grover-big,5,32,10,0.00,4980,4,4085,23,51,74,1,1,ok
rust-bigint,grover-big,6,64,1,0.00,5096,5,5083,34,81,115,1,1,ok
rust-bigint,grover-big,6,64,2,0.01,5048,6,6364,36,87,123,1,1,ok
rust-bigint,grover-big,6,64,3,0.01,4884,6,6753,38,93,131,1,1,ok
rust-bigint,grover-big,6,64,4,0.00,5468,5,5708,34,81,115,1,1,ok
rust-bigint,grover-big,6,64,5,0.00,5480,2,2916,37,90,127,1,1,ok
rust-bigint,grover-big,6,64,6,0.00,5048,4,4600,35,84,119,1,1,ok
rust-bigint,grover-big,6,64,7,0.00,5060,3,3023,37,90,127,1,1,ok
rust-bigint,grover-big,6,64,8,0.00,5112,2,2690,35,84,119,1,1,ok
rust-bigint,grover-big,6,64,9,0.00,5468,2,2897,36,87,123,1,1,ok
rust-bigint,grover-big,6,64,10,0.00,4976,3,3387,37,90,127,1,1,ok
rust-bigint,grover-big,7,128,1,0.01,5608,7,7478,56,144,200,1,1,ok
rust-bigint,grover-big,7,128,2,0.00,5472,4,4881,58,150,208,1,1,ok
rust-bigint,grover-big,7,128,3,0.00,5476,4,4886,56,144,200,1,1,ok
rust-bigint,grover-big,7,128,4,0.01,5652,7,7553,58,150,208,1,1,ok
rust-bigint,grover-big,7,128,5,0.01,5300,10,10600,57,147,204,1,1,ok
rust-bigint,grover-big,7,128,6,0.01,5540,10,10607,58,150,208,1,1,ok
rust-bigint,grover-big,7,128,7,0.00,5672,5,5294,57,147,204,1,1,ok
rust-bigint,grover-big,7,128,8,0.01,5448,11,11567,56,144,200,1,1,ok
rust-bigint,grover-big,7,128,9,0.01,5384,7,7997,57,147,204,1,1,ok
rust-bigint,grover-big,7,128,10,0.01,5216,10,10667,57,147,204,1,1,ok
rust-bigint,grover-big,8,256,1,0.00,6036,7,7340,88,237,325,1,1,ok
rust-bigint,grover-big,8,256,2,0.01,6220,10,10038,92,249,341,1,1,ok
rust-bigint,grover-big,8,256,3,0.01,5976,9,9879,90,243,333,1,1,ok
rust-bigint,grover-big,8,256,4,0.01,5788,10,10170,91,246,337,1,1,ok
rust-bigint,grover-big,8,256,5,0.02,5800,17,17779,91,246,337,1,1,ok
rust-bigint,grover-big,8,256,6,0.01,5752,14,14409,90,243,333,1,1,ok
rust-bigint,grover-big,8,256,7,0.01,6048,14,14947,91,246,337,1,1,ok
rust-bigint,grover-big,8,256,8,0.01,5960,13,13709,87,234,321,1,1,ok
rust-bigint,grover-big,8,256,9,0.01,5824,10,10176,91,246,337,1,1,ok
rust-bigint,grover-big,8,256,10,0.01,6048,8,8235,88,237,325,1,1,ok
rust-bigint,grover-iterate,2,4,1,0.00,4716,0,270,6,9,15,1,1,ok
rust-bigint,grover-iterate,2,4,2,0.00,4916,0,175,6,9,15,1,1,ok
rust-bigint,grover-iterate,2,4,3,0.00,4912,0,265,6,9,15,1,1,ok
rust-bigint,grover-iterate,2,4,4,0.00,4624,0,206,5,6,11,1,1,ok
rust-bigint,grover-iterate,2,4,5,0.00,4684,0,264,6,9,15,1,1,ok
rust-bigint,grover-iterate,2,4,6,0.00,4540,0,112,5,6,11,1,1,ok
rust-bigint,grover-iterate,2,4,7,0.00,4888,0,232,6,9,15,1,1,ok
rust-bigint,grover-iterate,2,4,8,0.00,4820,0,147,6,9,15,1,1,ok
rust-bigint,grover-iterate,2,4,9,0.00,4996,0,283,6,9,15,1,1,ok
rust-bigint,grover-iterate,2,4,10,0.00,4940,0,245,5,6,11,1,1,ok
rust-bigint,grover-iterate,3,8,1,0.00,4944,0,476,10,18,28,1,1,ok
rust-bigint,grover-iterate,3,8,2,0.00,4912,0,244,10,18,28,1,1,ok
rust-bigint,grover-iterate,3,8,3,0.00,4564,0,181,10,18,28,1,1,ok
