impl,algo,p,qubits,seed,wall_s,peak_rss_kb,duration_ms,duration_us,nodes,edges,total,correct,status
rust-bigint,ghz,1,2,na,0.00,4496,0,107,2,3,5,1,ok
rust-bigint,ghz,2,4,na,0.00,4488,0,270,7,13,20,1,ok
rust-bigint,ghz,3,8,na,0.00,4292,0,158,11,23,34,1,ok
rust-bigint,ghz,4,16,na,0.00,4320,0,445,15,33,48,1,ok
rust-bigint,ghz,5,32,na,0.00,4452,0,713,19,43,62,1,ok
rust-bigint,ghz,6,64,na,0.00,4328,1,1901,23,53,76,1,ok
rust-bigint,ghz,7,128,na,0.00,4856,3,3463,27,63,90,1,ok
rust-bigint,ghz,8,256,na,0.00,5224,6,6220,31,73,104,1,ok
rust-bigint,ghz,9,512,na,0.01,7216,11,11950,35,83,118,1,ok
rust-bigint,ghz,10,1024,na,0.02,10264,22,22065,39,93,132,1,ok
rust-bigint,ghz,11,2048,na,0.05,16184,45,45295,43,103,146,1,ok
rust-bigint,ghz,12,4096,na,0.11,28844,97,97084,47,113,160,1,ok
rust-bigint,ghz,13,8192,na,0.25,53700,211,211498,51,123,174,1,ok
rust-bigint,ghz,14,16384,na,0.58,103300,450,450442,55,133,188,1,ok
rust-bigint,ghz,15,32768,na,1.26,203076,973,973040,59,143,202,1,ok
rust-bigint,ghz,16,65536,na,2.82,401660,2184,2184384,63,153,216,1,ok
rust-bigint,bv,1,2,1,0.00,4352,0,167,6,9,15,1,ok
rust-bigint,bv,2,4,1,0.00,4068,0,292,10,19,29,1,ok
rust-bigint,bv,3,8,1,0.00,4140,0,438,16,35,51,1,ok
rust-bigint,bv,4,16,1,0.00,4096,0,533,23,54,77,1,ok
rust-bigint,bv,5,32,1,0.00,4228,0,812,33,82,115,1,ok
rust-bigint,bv,6,64,1,0.00,4668,1,1443,45,116,161,1,ok
rust-bigint,bv,7,128,1,0.00,5096,0,861,69,186,255,1,ok
rust-bigint,bv,8,256,1,0.01,6252,1,1514,103,286,389,1,ok
