impl,p,qubits,wall_s,peak_rss_kb,duration_us,nodes,edges,total,conv_total,correct
rust-i128,1,2,0.45,2992,215,12,24,36,73,1
rust-i128,2,4,0.00,3088,297,19,43,62,118,1
rust-i128,3,8,0.00,3248,368,27,65,92,170,1
rust-i128,4,16,0.00,3264,538,35,87,122,222,1
rust-i128,5,32,0.00,3344,825,43,109,152,274,1
rust-i128,6,64,0.00,3680,1426,51,131,182,326,1
rust-bigint,1,2,0.00,2944,159,12,24,36,73,1
rust-bigint,2,4,0.00,3104,259,19,43,62,118,1
rust-bigint,3,8,0.00,3184,388,27,65,92,170,1
rust-bigint,4,16,0.00,3296,628,35,87,122,222,1
rust-bigint,5,32,0.00,3456,936,43,109,152,274,1
rust-bigint,6,64,0.00,3680,1629,51,131,182,326,1
rust-bigint,7,128,0.00,4032,2929,59,153,212,378,1
rust-bigint,8,256,0.00,4528,5302,67,175,242,430,1
rust-bigint,9,512,0.01,5712,10321,75,197,272,482,1
rust-bigint,10,1024,0.02,7840,20283,83,219,302,534,1
rust-bigint,11,2048,0.05,12544,44284,91,241,332,586,1
rust-bigint,12,4096,0.09,22080,86160,99,263,362,638,1
rust-bigint,13,8192,0.22,39904,188222,107,285,392,690,1
rust-bigint,14,16384,0.44,76752,365750,115,307,422,742,1
rust-bigint,15,32768,0.89,154800,723237,123,329,452,794,1
rust-bigint,16,65536,1.94,306768,1532964,131,351,482,846,1
