algo,p,qubits,nodes,time_s,wall_s,peak_rss_kb,status
GHZ,1,2,8,0.00012175,0.00,12176,ok
GHZ,2,4,12,0.000124792,0.00,12192,ok
GHZ,3,8,20,0.000170417,0.00,12256,ok
GHZ,4,16,36,0.00038425,0.00,12432,ok
GHZ,5,32,68,0.00163967,0.00,12832,ok
GHZ,6,64,132,0.00598133,0.00,14240,ok
GHZ,7,128,260,0.0388276,0.04,19040,ok
GHZ,8,256,516,0.231804,0.23,29680,ok
GHZ,9,512,,,1.77,73408,exit134
BV,1,2,7,1.0625e-05,0.00,12176,ok
BV,2,4,11,1.9666e-05,0.00,12192,ok
BV,3,8,19,3.1667e-05,0.00,12208,ok
BV,4,16,35,0.000540083,0.13,12368,ok
BV,5,32,,,,,timeout
DJ,1,2,6,1.5708e-05,0.00,12176,ok
DJ,2,4,18,2.2792e-05,0.00,12160,ok
DJ,3,8,233,0.000178458,0.00,12592,ok
DJ,4,16,53517,0.250002,1.51,37904,ok
DJ,5,32,,,,,timeout
grover,1,2,4,0.000121584,0.00,12192,ok
grover,2,4,9,0.000192625,0.00,12224,ok
grover,3,8,16,0.00254725,0.00,12496,ok
grover,4,16,95,0.312194,0.31,17088,ok
grover,5,32,,,,,timeout
fourier,1,2,,,0.00,12160,ok
fourier,2,4,,,0.00,12224,ok
fourier,3,8,,,0.01,13280,ok
fourier,4,16,,,,,timeout
