impl,algo,p,qubits,seed,wall_s,peak_rss_kb,duration_ms,duration_us,nodes,edges,total,correct,verified,status
rust-bigint,grover-big,2,4,1,0.00,3248,0,326,6,26,32,1,1,ok
rust-bigint,grover-big,2,4,2,0.00,3296,0,329,6,26,32,1,1,ok
rust-bigint,grover-big,2,4,3,0.00,3264,0,325,6,23,29,1,1,ok
rust-bigint,grover-big,2,4,4,0.00,3264,0,285,5,19,24,1,1,ok
rust-bigint,grover-big,2,4,5,0.00,3264,0,329,6,25,31,1,1,ok
rust-bigint,grover-big,2,4,6,0.00,3264,0,282,5,17,22,1,1,ok
rust-bigint,grover-big,2,4,7,0.00,3296,0,327,6,23,29,1,1,ok
rust-bigint,grover-big,2,4,8,0.00,3248,0,325,6,24,30,1,1,ok
rust-bigint,grover-big,2,4,9,0.00,3280,0,330,6,26,32,1,1,ok
rust-bigint,grover-big,2,4,10,0.00,3280,0,290,5,17,22,1,1,ok
rust-bigint,grover-big,3,8,1,0.00,3440,0,708,10,44,54,1,1,ok
rust-bigint,grover-big,3,8,2,0.00,3392,0,666,10,44,54,1,1,ok
rust-bigint,grover-big,3,8,3,0.00,3376,0,737,10,44,54,1,1,ok
rust-bigint,grover-big,3,8,4,0.00,3392,0,621,9,38,47,1,1,ok
rust-bigint,grover-big,3,8,5,0.00,3408,0,722,10,44,54,1,1,ok
rust-bigint,grover-big,3,8,6,0.00,3392,0,661,9,35,44,1,1,ok
rust-bigint,grover-big,3,8,7,0.00,3392,0,669,9,35,44,1,1,ok
rust-bigint,grover-big,3,8,8,0.00,3408,0,707,10,44,54,1,1,ok
rust-bigint,grover-big,3,8,9,0.00,3392,0,618,9,38,47,1,1,ok
rust-bigint,grover-big,3,8,10,0.00,3392,0,637,9,35,44,1,1,ok
rust-bigint,grover-big,4,16,1,0.00,3536,1,1347,15,68,83,1,1,ok
rust-bigint,grover-big,4,16,2,0.00,3568,1,1399,16,74,90,1,1,ok
rust-bigint,grover-big,4,16,3,0.00,3568,1,1374,15,68,83,1,1,ok
rust-bigint,grover-big,4,16,4,0.00,3504,1,1128,13,56,69,1,1,ok
rust-bigint,grover-big,4,16,5,0.00,3552,1,1477,16,74,90,1,1,ok
rust-bigint,grover-big,4,16,6,0.00,3552,1,1517,16,74,90,1,1,ok
rust-bigint,grover-big,4,16,7,0.00,3536,1,1467,16,74,90,1,1,ok
rust-bigint,grover-big,4,16,8,0.00,3536,1,1499,16,74,90,1,1,ok
rust-bigint,grover-big,4,16,9,0.00,3520,1,1272,14,62,76,1,1,ok
rust-bigint,grover-big,4,16,10,0.00,3520,1,1478,16,74,90,1,1,ok
rust-bigint,grover-big,5,32,1,0.00,3712,2,2304,23,110,133,1,1,ok
rust-bigint,grover-big,5,32,2,0.00,3808,2,2506,24,116,140,1,1,ok
rust-bigint,grover-big,5,32,3,0.00,3744,2,2453,24,116,140,1,1,ok
rust-bigint,grover-big,5,32,4,0.00,3680,2,2181,22,104,126,1,1,ok
rust-bigint,grover-big,5,32,5,0.00,3728,2,2546,25,122,147,1,1,ok
rust-bigint,grover-big,5,32,6,0.00,3744,2,2583,25,122,147,1,1,ok
rust-bigint,grover-big,5,32,7,0.00,3728,2,2582,25,122,147,1,1,ok
rust-bigint,grover-big,5,32,8,0.00,3728,2,2563,25,122,147,1,1,ok
rust-bigint,grover-big,5,32,9,0.00,3808,2,2533,24,116,140,1,1,ok
rust-bigint,grover-big,5,32,10,0.00,3744,2,2362,23,110,133,1,1,ok
rust-bigint,grover-big,6,64,1,0.00,3936,3,3305,34,170,204,1,1,ok
rust-bigint,grover-big,6,64,2,0.00,3968,3,3597,36,182,218,1,1,ok
rust-bigint,grover-big,6,64,3,0.00,3984,3,3796,38,194,232,1,1,ok
rust-bigint,grover-big,6,64,4,0.00,3936,3,3219,34,170,204,1,1,ok
rust-bigint,grover-big,6,64,5,0.00,4000,3,3584,37,188,225,1,1,ok
rust-bigint,grover-big,6,64,6,0.00,3984,3,3285,35,176,211,1,1,ok
rust-bigint,grover-big,6,64,7,0.00,3936,3,3562,37,188,225,1,1,ok
rust-bigint,grover-big,6,64,8,0.00,3952,3,3328,35,176,211,1,1,ok
rust-bigint,grover-big,6,64,9,0.00,4032,3,3475,36,182,218,1,1,ok
rust-bigint,grover-big,6,64,10,0.00,4000,3,3583,37,188,225,1,1,ok
rust-bigint,grover-big,7,128,1,0.00,4304,5,5951,56,296,352,1,1,ok
rust-bigint,grover-big,7,128,2,0.00,4416,6,6155,58,308,366,1,1,ok
rust-bigint,grover-big,7,128,3,0.00,4288,5,5834,56,296,352,1,1,ok
rust-bigint,grover-big,7,128,4,0.00,4368,6,6066,58,308,366,1,1,ok
rust-bigint,grover-big,7,128,5,0.00,4336,6,6177,57,302,359,1,1,ok
rust-bigint,grover-big,7,128,6,0.00,4240,6,6100,58,308,366,1,1,ok
rust-bigint,grover-big,7,128,7,0.00,4240,6,6018,57,302,359,1,1,ok
rust-bigint,grover-big,7,128,8,0.00,4304,5,5922,56,296,352,1,1,ok
rust-bigint,grover-big,7,128,9,0.00,4192,5,5955,57,302,359,1,1,ok
rust-bigint,grover-big,7,128,10,0.00,4304,6,6097,57,302,359,1,1,ok
rust-bigint,grover-big,8,256,1,0.01,4896,11,11657,88,482,570,1,1,ok
rust-bigint,grover-big,8,256,2,0.01,4880,12,12210,92,506,598,1,1,ok
rust-bigint,grover-big,8,256,3,0.01,4912,11,11969,90,494,584,1,1,ok
rust-bigint,grover-big,8,256,4,0.01,4832,11,11959,91,500,591,1,1,ok
rust-bigint,grover-big,8,256,5,0.01,4896,11,11938,91,500,591,1,1,ok
rust-bigint,grover-big,8,256,6,0.01,4864,12,12024,90,494,584,1,1,ok
rust-bigint,grover-big,8,256,7,0.01,5136,12,12875,91,500,591,1,1,ok
rust-bigint,grover-big,8,256,8,0.01,4864,11,11488,87,476,563,1,1,ok
rust-bigint,grover-big,8,256,9,0.01,4880,12,12073,91,500,591,1,1,ok
rust-bigint,grover-big,8,256,10,0.01,4864,11,11797,88,482,570,1,1,ok
rust-bigint,grover-big,9,512,1,0.02,6112,18,18435,152,860,1012,1,1,ok
rust-bigint,grover-big,9,512,2,0.02,6048,18,18090,150,848,998,1,1,ok
rust-bigint,grover-big,9,512,3,0.02,6048,17,17882,150,848,998,1,1,ok
rust-bigint,grover-big,9,512,4,0.02,5744,17,17457,145,818,963,1,1,ok
rust-bigint,grover-big,9,512,5,0.02,6112,17,17642,148,836,984,1,1,ok
rust-bigint,grover-big,9,512,6,0.02,6080,18,18901,151,854,1005,1,1,ok
rust-bigint,grover-big,9,512,7,0.02,6016,19,19220,149,842,991,1,1,ok
rust-bigint,grover-big,9,512,8,0.02,6240,18,18490,148,836,984,1,1,ok
rust-bigint,grover-big,9,512,9,0.02,6304,19,19151,153,866,1019,1,1,ok
rust-bigint,grover-big,9,512,10,0.02,6128,19,19572,150,848,998,1,1,ok
