impl,algo,p,qubits,seed,wall_s,peak_rss_kb,duration_ms,duration_us,nodes,edges,total,correct,verified,status
rust-bigint,grover-iterate,1,2,1,0.00,2880,0,68,3,3,6,1,1,ok
rust-bigint,grover-iterate,1,2,2,0.00,2864,0,66,3,3,6,1,1,ok
rust-bigint,grover-iterate,1,2,3,0.00,2864,0,71,3,3,6,1,1,ok
rust-bigint,grover-iterate,2,4,1,0.00,3056,0,162,6,9,15,1,1,ok
rust-bigint,grover-iterate,2,4,2,0.00,3056,0,160,6,9,15,1,1,ok
rust-bigint,grover-iterate,2,4,3,0.00,3056,0,152,6,9,15,1,1,ok
rust-bigint,grover-iterate,3,8,1,0.00,3152,0,258,10,18,28,1,1,ok
rust-bigint,grover-iterate,3,8,2,0.00,3120,0,239,10,18,28,1,1,ok
rust-bigint,grover-iterate,3,8,3,0.00,3120,0,247,10,18,28,1,1,ok
rust-bigint,grover-iterate,4,16,1,0.00,3216,0,403,15,30,45,1,1,ok
rust-bigint,grover-iterate,4,16,2,0.00,3216,0,415,16,33,49,1,1,ok
rust-bigint,grover-iterate,4,16,3,0.00,3200,0,423,15,30,45,1,1,ok
rust-bigint,grover-iterate,5,32,1,0.01,3264,12,12558,23,51,74,1,1,ok
rust-bigint,grover-iterate,5,32,2,0.01,3248,12,12182,24,54,78,1,1,ok
rust-bigint,grover-iterate,5,32,3,0.01,3248,12,12500,24,54,78,1,1,ok
rust-bigint,grover-fast,1,2,1,0.00,2896,0,83,3,3,6,1,1,ok
rust-bigint,grover-fast,1,2,2,0.00,2912,0,87,3,3,6,1,1,ok
rust-bigint,grover-fast,1,2,3,0.00,2928,0,83,3,3,6,1,1,ok
rust-bigint,grover-fast,2,4,1,0.00,3184,0,348,6,9,15,1,1,ok
rust-bigint,grover-fast,2,4,2,0.00,3136,0,326,6,9,15,1,1,ok
rust-bigint,grover-fast,2,4,3,0.00,3184,0,332,6,9,15,1,1,ok
rust-bigint,grover-fast,3,8,1,0.00,3280,0,734,10,18,28,1,1,ok
rust-bigint,grover-fast,3,8,2,0.00,3264,0,677,10,18,28,1,1,ok
rust-bigint,grover-fast,3,8,3,0.00,3296,0,733,10,18,28,1,1,ok
rust-bigint,grover-fast,4,16,1,0.00,3424,1,1365,15,30,45,1,1,ok
rust-bigint,grover-fast,4,16,2,0.00,3440,1,1463,16,33,49,1,1,ok
rust-bigint,grover-fast,4,16,3,0.00,3472,1,1479,15,30,45,1,1,ok
rust-bigint,grover-fast,5,32,1,0.00,3600,2,2344,23,51,74,1,1,ok
