impl,algo,p,qubits,seed,wall_s,peak_rss_kb,duration_ms,duration_us,nodes,edges,total,conv_total,correct,verified,status
rust-bigint,ghz,1,2,na,0.00,3008,0,388,12,24,36,73,1,na,ok
rust-bigint,ghz-vec,1,2,na,0.00,2832,0,67,2,3,5,14,1,na,ok
rust-bigint,ghz,2,4,na,0.00,3152,0,253,19,43,62,118,1,na,ok
rust-bigint,ghz-vec,2,4,na,0.00,3024,0,102,7,13,20,46,1,na,ok
rust-bigint,ghz,3,8,na,0.00,3248,0,381,27,65,92,170,1,na,ok
rust-bigint,ghz-vec,3,8,na,0.00,3120,0,171,11,23,34,70,1,na,ok
rust-bigint,ghz,4,16,na,0.00,3376,0,558,35,87,122,222,1,na,ok
rust-bigint,ghz-vec,4,16,na,0.00,3216,0,326,15,33,48,94,1,na,ok
rust-bigint,ghz,5,32,na,0.00,3488,0,871,43,109,152,274,1,na,ok
rust-bigint,ghz-vec,5,32,na,0.00,3312,0,424,19,43,62,118,1,na,ok
rust-bigint,ghz,6,64,na,0.00,3728,1,1447,51,131,182,326,1,na,ok
rust-bigint,ghz-vec,6,64,na,0.00,3568,0,770,23,53,76,142,1,na,ok
rust-bigint,ghz,7,128,na,0.00,4128,2,2584,59,153,212,378,1,na,ok
rust-bigint,ghz-vec,7,128,na,0.00,3952,1,1403,27,63,90,166,1,na,ok
rust-bigint,ghz,8,256,na,0.00,4640,5,5100,67,175,242,430,1,na,ok
rust-bigint,ghz-vec,8,256,na,0.00,4464,2,2673,31,73,104,190,1,na,ok
rust-bigint,ghz,9,512,na,0.01,5936,9,9058,75,197,272,482,1,na,ok
rust-bigint,ghz-vec,9,512,na,0.00,5488,5,5221,35,83,118,214,1,na,ok
rust-bigint,ghz,10,1024,na,0.02,8176,17,17654,83,219,302,534,1,na,ok
rust-bigint,ghz-vec,10,1024,na,0.01,7680,10,10351,39,93,132,238,1,na,ok
rust-bigint,ghz,11,2048,na,0.04,12912,36,36154,91,241,332,586,1,na,ok
rust-bigint,ghz-vec,11,2048,na,0.02,11568,21,21115,43,103,146,262,1,na,ok
rust-bigint,ghz,12,4096,na,0.08,22512,72,72520,99,263,362,638,1,na,ok
rust-bigint,ghz-vec,12,4096,na,0.05,20704,45,45693,47,113,160,286,1,na,ok
rust-bigint,ghz,13,8192,na,0.17,40800,147,147492,107,285,392,690,1,na,ok
rust-bigint,ghz-vec,13,8192,na,0.11,38240,91,91247,51,123,174,310,1,na,ok
