impl,workload,k,routes,acl_rules,seed,dataset,fib_rules,acl_rule_count,predicates,wall_s,peak_rss_kb,fwd_ms,acl_ms,ap_ms,reach_ms,total_ms,atoms,pairs,equal_acl_pairs,fwd_fraction,acl_fraction,engine_nodes,label_nodes,engine_bytes,max_nodes,max_edges,max_conv,status
jdd-bdd,all,4,100,8,1,ft4_r100_a8_s1,180,72,60,0.26,196128,23.296,2.833,18.548,3.088,47.766,626,216,0,16.036471962929,0.003815886799,-1,-1,129948466,351,-1,-1,ok
ndd,all,4,100,8,1,ft4_r100_a8_s1,180,72,60,0.22,200368,28.424,3.404,15.986,2.028,49.843,626,216,0,16.036471962929,0.003815886799,4739,30670,-1,-1,-1,-1,ok
gcflobdd/field-grouped,all,4,100,8,1,ft4_r100_a8_s1,180,72,60,0.49,83168,28.264,5.081,48.108,2.664,84.117,626,216,0,16.036471962929,0.003815886799,8977,-1,6704328,21,28,121,ok
gcflobdd/aligned-balanced,all,4,100,8,1,ft4_r100_a8_s1,180,72,60,0.15,71792,21.506,3.545,19.975,2.584,47.610,626,216,0,16.036471962929,0.003815886799,21087,-1,3437408,150,406,1041,ok
gcflobdd/aligned-balanced-shared,all,4,100,8,1,ft4_r100_a8_s1,180,72,60,0.15,70736,24.144,3.113,22.213,2.818,52.288,626,216,0,16.036471962929,0.003815886799,20007,-1,3284112,100,300,779,ok
jdd-bdd,all,6,150,8,1,ft6_r150_a8_s1,420,162,168,0.31,205696,23.858,8.677,105.615,6.525,144.675,3358,2130,0,36.050607621670,1.003845753617,-1,-1,129948466,334,-1,-1,ok
ndd,all,6,150,8,1,ft6_r150_a8_s1,420,162,168,0.32,214112,39.855,7.991,99.241,6.524,153.611,3358,2130,0,36.050607621670,1.003845753617,15449,52792,-1,-1,-1,-1,ok
gcflobdd/field-grouped,all,6,150,8,1,ft6_r150_a8_s1,420,162,168,0.52,137200,41.562,9.499,321.568,6.999,379.628,3358,2130,0,36.050607621670,1.003845753617,31076,-1,23782664,18,28,115,ok
gcflobdd/aligned-balanced,all,6,150,8,1,ft6_r150_a8_s1,420,162,168,0.35,132624,30.631,7.577,167.872,7.577,213.657,3358,2130,0,36.050607621670,1.003845753617,82335,-1,16743984,134,357,910,ok
gcflobdd/aligned-balanced-shared,all,6,150,8,1,ft6_r150_a8_s1,420,162,168,0.34,135040,28.324,7.063,168.957,6.688,211.032,3358,2130,0,36.050607621670,1.003845753617,80741,-1,16516296,87,248,645,ok
jdd-bdd,all,8,200,8,1,ft8_r200_a8_s1,840,288,341,0.59,225104,27.463,8.059,364.898,18.834,419.255,7057,9880,0,64.075068295002,1.000075519790,-1,-1,129948466,429,-1,-1,ok
ndd,all,8,200,8,1,ft8_r200_a8_s1,840,288,341,0.46,246480,41.238,10.667,232.871,21.770,306.546,7057,9880,0,64.075068295002,1.000075519790,34055,94156,-1,-1,-1,-1,ok
gcflobdd/field-grouped,all,8,200,8,1,ft8_r200_a8_s1,840,288,341,1.48,354608,49.259,16.804,1178.701,20.490,1265.254,7057,9880,0,64.075068295002,1.000075519790,97983,-1,81356032,21,34,141,ok
gcflobdd/aligned-balanced,all,8,200,8,1,ft8_r200_a8_s1,840,288,341,0.89,328208,36.794,11.915,593.795,18.915,661.419,7057,9880,0,64.075068295002,1.000075519790,273483,-1,58616776,175,491,1258,ok
gcflobdd/aligned-balanced-shared,all,8,200,8,1,ft8_r200_a8_s1,840,288,341,0.92,327232,32.972,10.543,588.026,20.195,651.736,7057,9880,0,64.075068295002,1.000075519790,271182,-1,58285216,112,346,905,ok
jdd-bdd,all,10,250,8,1,ft10_r250_a8_s1,1500,450,581,1.47,412080,29.357,17.607,1185.585,61.317,1293.865,21497,36215,0,100.097943484783,1.000075813170,-1,-1,129948466,379,-1,-1,ok
ndd,all,10,250,8,1,ft10_r250_a8_s1,1500,450,581,0.82,454640,48.259,14.256,519.159,61.779,643.452,21497,36215,0,100.097943484783,1.000075813170,87316,143137,-1,-1,-1,-1,ok
gcflobdd/field-grouped,all,10,250,8,1,ft10_r250_a8_s1,1500,450,581,4.49,1002656,64.688,55.735,3838.456,66.077,4024.956,21497,36215,0,100.097943484783,1.000075813170,250990,-1,220254168,20,28,115,ok
gcflobdd/aligned-balanced,all,10,250,8,1,ft10_r250_a8_s1,1500,450,581,2.92,949360,42.472,20.023,2196.125,61.217,2319.837,21497,36215,0,100.097943484783,1.000075813170,799209,-1,186655480,154,413,1044,ok
gcflobdd/aligned-balanced-shared,all,10,250,8,1,ft10_r250_a8_s1,1500,450,581,2.93,949040,38.370,15.767,2227.690,61.878,2343.705,21497,36215,0,100.097943484783,1.000075813170,796222,-1,186234352,101,299,763,ok
jdd-bdd,all,12,300,8,1,ft12_r300_a8_s1,2460,648,896,5.27,844352,32.879,15.761,4808.545,236.627,5093.811,81993,100422,0,144.109157562256,1.000106983392,-1,-1,134142658,405,-1,-1,ok
ndd,all,12,300,8,1,ft12_r300_a8_s1,2460,648,896,1.98,772944,51.108,18.059,1519.510,226.616,1815.294,81993,100422,0,144.109157562256,1.000106983392,310602,298262,-1,-1,-1,-1,ok
gcflobdd/field-grouped,all,12,300,8,1,ft12_r300_a8_s1,2460,648,896,14.70,2717088,77.760,34.398,12990.421,331.624,13434.202,81993,100422,0,144.109157562256,1.000106983392,648794,-1,606500520,21,29,108,ok
gcflobdd/aligned-balanced,all,12,300,8,1,ft12_r300_a8_s1,2460,648,896,10.44,3208736,56.428,25.831,8418.811,321.372,8822.443,81993,100422,0,144.109157562256,1.000106983392,2213781,-1,567204872,172,486,1209,ok
gcflobdd/aligned-balanced-shared,all,12,300,8,1,ft12_r300_a8_s1,2460,648,896,11.06,2863888,51.975,22.447,8683.942,393.667,9152.030,81993,100422,0,144.109157562256,1.000106983392,2209782,-1,566615016,115,357,894,ok
jdd-bdd,all,4,100,8,2,ft4_r100_a8_s2,180,72,60,0.19,201072,16.347,3.744,19.240,2.264,41.594,396,196,0,16.039135098457,0.000000179056,-1,-1,129948466,306,-1,-1,ok
ndd,all,4,100,8,2,ft4_r100_a8_s2,180,72,60,0.19,211616,26.662,3.469,13.778,2.365,46.274,396,196,0,16.039135098457,0.000000179056,4501,31517,-1,-1,-1,-1,ok
gcflobdd/field-grouped,all,4,100,8,2,ft4_r100_a8_s2,180,72,60,0.17,81632,25.545,4.730,43.446,2.437,76.158,396,196,0,16.039135098457,0.000000179056,8742,-1,6493328,18,27,110,ok
gcflobdd/aligned-balanced,all,4,100,8,2,ft4_r100_a8_s2,180,72,60,0.13,71984,19.552,3.509,15.877,2.281,41.219,396,196,0,16.039135098457,0.000000179056,20463,-1,3344120,126,321,825,ok
gcflobdd/aligned-balanced-shared,all,4,100,8,2,ft4_r100_a8_s2,180,72,60,0.13,71600,20.039,3.076,15.926,2.372,41.413,396,196,0,16.039135098457,0.000000179056,19454,-1,3199296,85,243,628,ok
jdd-bdd,all,6,150,8,2,ft6_r150_a8_s2,420,162,167,0.27,211856,19.422,6.275,92.415,5.589,123.701,2072,1746,0,36.071371495724,0.000045008251,-1,-1,129948466,361,-1,-1,ok
ndd,all,6,150,8,2,ft6_r150_a8_s2,420,162,167,0.25,225856,36.236,5.733,55.844,5.349,103.163,2072,1746,0,36.071371495724,0.000045008251,12705,56489,-1,-1,-1,-1,ok
gcflobdd/field-grouped,all,6,150,8,2,ft6_r150_a8_s2,420,162,167,0.44,140400,34.576,9.152,272.314,5.664,321.706,2072,1746,0,36.071371495724,0.000045008251,31641,-1,24495000,19,37,162,ok
gcflobdd/aligned-balanced,all,6,150,8,2,ft6_r150_a8_s2,420,162,167,0.29,124080,28.143,7.095,128.498,5.509,169.245,2072,1746,0,36.071371495724,0.000045008251,74500,-1,14519432,136,370,945,ok
gcflobdd/aligned-balanced-shared,all,6,150,8,2,ft6_r150_a8_s2,420,162,167,0.27,127808,27.190,5.999,117.974,5.422,156.585,2072,1746,0,36.071371495724,0.000045008251,72932,-1,14287024,91,268,712,ok
jdd-bdd,all,8,200,8,2,ft8_r200_a8_s2,840,288,338,0.61,239264,22.090,9.096,407.697,16.641,455.524,7821,9579,0,64.094336152077,0.000060443522,-1,-1,129948466,432,-1,-1,ok
ndd,all,8,200,8,2,ft8_r200_a8_s2,840,288,338,0.37,249776,38.274,9.084,149.573,15.244,212.175,7821,9579,0,64.094336152077,0.000060443522,35766,103423,-1,-1,-1,-1,ok
gcflobdd/field-grouped,all,8,200,8,2,ft8_r200_a8_s2,840,288,338,1.36,360032,43.438,16.912,1089.809,17.195,1167.353,7821,9579,0,64.094336152077,0.000060443522,100537,-1,82769112,20,35,150,ok
gcflobdd/aligned-balanced,all,8,200,8,2,ft8_r200_a8_s2,840,288,338,0.84,330032,31.574,12.599,566.253,16.527,626.952,7821,9579,0,64.094336152077,0.000060443522,270810,-1,58326760,158,438,1138,ok
gcflobdd/aligned-balanced-shared,all,8,200,8,2,ft8_r200_a8_s2,840,288,338,0.89,324992,32.983,9.896,578.465,16.206,637.550,7821,9579,0,64.094336152077,0.000060443522,268420,-1,57978696,107,330,871,ok
jdd-bdd,all,10,250,8,2,ft10_r250_a8_s2,1500,450,571,1.56,468736,27.707,11.140,1303.743,60.378,1402.968,26095,37440,0,100.116138100624,0.000075946293,-1,-1,129948466,437,-1,-1,ok
ndd,all,10,250,8,2,ft10_r250_a8_s2,1500,450,571,0.74,496000,39.406,13.318,469.921,59.184,581.828,26095,37440,0,100.116138100624,0.000075946293,107327,157598,-1,-1,-1,-1,ok
gcflobdd/field-grouped,all,10,250,8,2,ft10_r250_a8_s2,1500,450,571,5.18,1043632,59.930,22.815,4500.844,58.540,4642.130,26095,37440,0,100.116138100624,0.000075946293,273055,-1,246845936,21,36,152,ok
gcflobdd/aligned-balanced,all,10,250,8,2,ft10_r250_a8_s2,1500,450,571,3.45,995744,44.899,18.481,2663.280,59.724,2786.383,26095,37440,0,100.116138100624,0.000075946293,866406,-1,207784072,168,459,1171,ok
gcflobdd/aligned-balanced-shared,all,10,250,8,2,ft10_r250_a8_s2,1500,450,571,3.47,995568,38.059,15.352,2695.765,64.272,2813.447,26095,37440,0,100.116138100624,0.000075946293,863278,-1,207327888,110,336,866,ok
jdd-bdd,all,12,300,8,2,ft12_r300_a8_s2,2460,648,892,5.88,859552,28.071,19.059,5321.355,327.658,5696.143,75408,110148,0,144.148181557655,0.000106935134,-1,-1,134142658,373,-1,-1,ok
ndd,all,12,300,8,2,ft12_r300_a8_s2,2460,648,892,2.85,919696,73.023,20.629,2138.859,292.038,2524.548,75408,110148,0,144.148181557655,0.000106935134,324318,276472,-1,-1,-1,-1,ok
gcflobdd/field-grouped,all,12,300,8,2,ft12_r300_a8_s2,2460,648,892,18.25,2717312,86.293,38.645,16604.884,292.851,17022.673,75408,110148,0,144.148181557655,0.000106935134,644408,-1,644818264,21,31,120,ok
gcflobdd/aligned-balanced,all,12,300,8,2,ft12_r300_a8_s2,2460,648,892,12.42,2533968,51.752,24.234,9707.215,369.350,10152.551,75408,110148,0,144.148181557655,0.000106935134,2320207,-1,619206656,173,487,1230,ok
gcflobdd/aligned-balanced-shared,all,12,300,8,2,ft12_r300_a8_s2,2460,648,892,12.29,3222128,50.265,23.647,9963.321,294.410,10331.643,75408,110148,0,144.148181557655,0.000106935134,2315926,-1,618586936,115,356,910,ok
jdd-bdd,all,4,100,8,3,ft4_r100_a8_s3,180,72,60,0.21,200880,16.622,3.620,20.754,2.367,43.363,506,180,0,16.034823596478,0.000030339460,-1,-1,129948466,337,-1,-1,ok
ndd,all,4,100,8,3,ft4_r100_a8_s3,180,72,60,0.20,210304,31.600,3.551,14.547,2.223,51.921,506,180,0,16.034823596478,0.000030339460,5121,27659,-1,-1,-1,-1,ok
gcflobdd/field-grouped,all,4,100,8,3,ft4_r100_a8_s3,180,72,60,0.17,81760,24.592,4.111,40.836,2.395,71.933,506,180,0,16.034823596478,0.000030339460,8493,-1,6201672,18,29,113,ok
