impl,algo,p,qubits,seed,wall_s,peak_rss_kb,duration_ms,duration_us,nodes,edges,total,correct,verified,status
rust-bigint,qft,1,2,1,0.00,2912,0,296,3,9,12,1,na,ok
cpp,qft,1,2,1,0.17,695104,1,,5,35,40,na,na,ok
rust-bigint,qft,1,2,2,0.00,2976,0,96,2,14,16,1,na,ok
cpp,qft,1,2,2,0.17,695072,0,,5,35,40,na,na,ok
rust-bigint,qft,1,2,3,0.00,2944,0,97,2,14,16,1,na,ok
cpp,qft,1,2,3,0.17,695008,0,,5,20,25,na,na,ok
rust-bigint,qft,2,4,1,0.00,3168,0,220,5,13,18,1,na,ok
cpp,qft,2,4,1,0.17,695152,0,,9,60,69,na,na,ok
rust-bigint,qft,2,4,2,0.00,3168,0,239,4,23,27,1,na,ok
cpp,qft,2,4,2,0.17,695200,0,,9,71,80,na,na,ok
rust-bigint,qft,2,4,3,0.00,3184,0,250,3,52,55,1,na,ok
cpp,qft,2,4,3,0.17,695232,0,,7,83,90,na,na,ok
rust-bigint,qft,3,8,1,0.00,3808,0,922,7,329,336,1,na,ok
cpp,qft,3,8,1,0.17,695888,2,,9,635,644,na,na,ok
rust-bigint,qft,3,8,2,0.00,3840,0,907,7,329,336,1,na,ok
cpp,qft,3,8,2,0.17,695824,2,,9,635,644,na,na,ok
rust-bigint,qft,3,8,3,0.00,3744,0,853,6,179,185,1,na,ok
cpp,qft,3,8,3,0.17,695776,2,,9,635,644,na,na,ok
rust-bigint,qft,4,16,1,0.10,45104,96,96037,5,131912,131917,1,na,ok
cpp,qft,4,16,1,0.38,753392,202,,15,66483,66498,na,na,ok
rust-bigint,qft,4,16,2,0.08,31568,73,73423,9,66285,66294,1,na,ok
cpp,qft,4,16,2,0.46,779984,268,,11,132227,132238,na,na,ok
rust-bigint,qft,4,16,3,0.09,41152,85,85301,5,131912,131917,1,na,ok
cpp,qft,4,16,3,0.43,772160,235,,11,132227,132238,na,na,ok
rust-i128,qft,1,2,1,0.51,2864,0,152,3,9,12,1,na,ok
rust-i128,qft,1,2,2,0.00,2864,0,93,2,14,16,1,na,ok
rust-i128,qft,1,2,3,0.00,2864,0,94,2,14,16,1,na,ok
rust-i128,qft,2,4,1,0.00,3088,0,282,5,13,18,1,na,ok
rust-i128,qft,2,4,2,0.00,3088,0,223,4,23,27,1,na,ok
rust-i128,qft,2,4,3,0.00,3136,0,241,3,52,55,1,na,ok
rust-i128,qft,3,8,1,0.00,3680,0,809,7,329,336,1,na,ok
rust-i128,qft,3,8,2,0.00,3776,0,860,7,329,336,1,na,ok
rust-i128,qft,3,8,3,0.00,3648,0,835,6,179,185,1,na,ok
rust-i128,qft,4,16,1,0.09,42672,83,83317,5,131912,131917,1,na,ok
rust-i128,qft,4,16,2,0.06,31568,55,55513,9,66285,66294,1,na,ok
rust-i128,qft,4,16,3,0.08,39872,74,74837,5,131912,131917,1,na,ok
