algo,qubits,seed,wall_s,peak_rss_kb,duration_us,nodes,edges,total,correct,verified,status
ghz-vec,100,na,0.00,3808,1677,33,175,208,1,na,ok
ghz-vec,100,na,0.00,3824,1368,33,175,208,1,na,ok
ghz-vec,100,na,0.00,3824,1244,33,175,208,1,na,ok
ghz-vec,101,na,0.00,3904,1536,34,175,209,1,na,ok
ghz-vec,101,na,0.00,3872,1444,34,175,209,1,na,ok
ghz-vec,101,na,0.00,3920,1494,34,175,209,1,na,ok
ghz-vec,128,na,0.00,3904,1629,27,139,166,1,na,ok
ghz-vec,128,na,0.00,3840,1451,27,139,166,1,na,ok
ghz-vec,128,na,0.00,3984,1603,27,139,166,1,na,ok
ghz-vec,200,na,0.00,4080,2245,37,195,232,1,na,ok
ghz-vec,200,na,0.00,4080,2393,37,195,232,1,na,ok
ghz-vec,200,na,0.00,4096,2454,37,195,232,1,na,ok
ghz-vec,256,na,0.00,4624,3100,31,159,190,1,na,ok
ghz-vec,256,na,0.00,4544,3026,31,159,190,1,na,ok
ghz-vec,256,na,0.00,4576,2982,31,159,190,1,na,ok
ghz-vec,300,na,0.00,4864,4065,44,227,271,1,na,ok
ghz-vec,300,na,0.00,4688,3576,44,227,271,1,na,ok
ghz-vec,300,na,0.00,4800,4125,44,227,271,1,na,ok
ghz-vec,333,na,0.00,5392,4786,45,227,272,1,na,ok
ghz-vec,333,na,0.00,5040,4328,45,227,272,1,na,ok
ghz-vec,333,na,0.00,5296,4837,45,227,272,1,na,ok
ghz-vec,500,na,0.00,5632,6052,48,239,287,1,na,ok
ghz-vec,500,na,0.00,5856,6113,48,239,287,1,na,ok
ghz-vec,500,na,0.00,5616,5934,48,239,287,1,na,ok
ghz-vec,512,na,0.00,5504,5190,35,179,214,1,na,ok
ghz-vec,512,na,0.00,5584,5146,35,179,214,1,na,ok
ghz-vec,512,na,0.01,5536,5339,35,179,214,1,na,ok
ghz-vec,999,na,0.01,8544,14068,58,283,341,1,na,ok
ghz-vec,999,na,0.01,8672,14518,58,283,341,1,na,ok
ghz-vec,999,na,0.01,8896,13984,58,283,341,1,na,ok
ghz-vec,1000,na,0.01,8160,11698,52,259,311,1,na,ok
ghz-vec,1000,na,0.01,7728,12929,52,259,311,1,na,ok
ghz-vec,1000,na,0.01,8000,12030,52,259,311,1,na,ok
ghz-vec,1024,na,0.01,8048,11726,39,199,238,1,na,ok
ghz-vec,1024,na,0.01,7952,11615,39,199,238,1,na,ok
ghz-vec,1024,na,0.01,7808,11296,39,199,238,1,na,ok
ghz-vec,2000,na,0.02,11872,23532,56,279,335,1,na,ok
ghz-vec,2000,na,0.02,11632,22509,56,279,335,1,na,ok
ghz-vec,2000,na,0.03,11712,25015,56,279,335,1,na,ok
ghz-vec,2048,na,0.02,11552,22931,43,219,262,1,na,ok
ghz-vec,2048,na,0.02,11488,22965,43,219,262,1,na,ok
