impl,workload,k,routes,acl_rules,seed,dataset,fib_rules,acl_rule_count,predicates,wall_s,peak_rss_kb,fwd_ms,acl_ms,ap_ms,reach_ms,total_ms,atoms,pairs,equal_acl_pairs,fwd_fraction,acl_fraction,engine_nodes,label_nodes,engine_bytes,max_nodes,max_edges,max_conv,status
jdd-bdd,all,4,100,8,1,ft4_r100_a8_s1,180,72,60,0.19,195984,21.317,2.892,17.577,2.698,44.485,626,216,0,16.036471962929,0.003815886799,-1,-1,129948466,351,-1,-1,ok
ndd,all,4,100,8,1,ft4_r100_a8_s1,180,72,60,0.19,201792,27.599,3.498,15.717,2.214,49.028,626,216,0,16.036471962929,0.003815886799,4739,30670,-1,-1,-1,-1,ok
gcflobdd/field-grouped,all,4,100,8,1,ft4_r100_a8_s1,180,72,60,0.18,82368,29.071,5.638,49.209,2.702,86.619,626,216,0,16.036471962929,0.003815886799,8977,-1,6229720,21,28,121,ok
gcflobdd/aligned-balanced,all,4,100,8,1,ft4_r100_a8_s1,180,72,60,0.15,69536,22.795,4.152,22.775,2.857,52.579,626,216,0,16.036471962929,0.003815886799,21087,-1,2715608,150,406,1041,ok
gcflobdd/aligned-balanced-shared,all,4,100,8,1,ft4_r100_a8_s1,180,72,60,0.14,69120,23.550,3.549,21.924,2.725,51.749,626,216,0,16.036471962929,0.003815886799,20007,-1,2604256,100,300,779,ok
jdd-bdd,all,6,150,8,1,ft6_r150_a8_s1,420,162,168,0.29,208864,23.924,5.473,109.418,6.681,145.496,3358,2130,0,36.050607621670,1.003845753617,-1,-1,129948466,334,-1,-1,ok
ndd,all,6,150,8,1,ft6_r150_a8_s1,420,162,168,0.26,213872,31.387,6.024,64.728,6.436,108.575,3358,2130,0,36.050607621670,1.003845753617,15449,52792,-1,-1,-1,-1,ok
gcflobdd/field-grouped,all,6,150,8,1,ft6_r150_a8_s1,420,162,168,0.50,130688,37.882,10.564,323.892,6.546,378.885,3358,2130,0,36.050607621670,1.003845753617,31076,-1,21670928,18,28,115,ok
gcflobdd/aligned-balanced,all,6,150,8,1,ft6_r150_a8_s1,420,162,168,0.37,123632,30.840,8.591,199.184,6.785,245.401,3358,2130,0,36.050607621670,1.003845753617,82335,-1,13176128,134,357,910,ok
gcflobdd/aligned-balanced-shared,all,6,150,8,1,ft6_r150_a8_s1,420,162,168,0.34,122656,30.456,6.738,171.246,6.793,215.233,3358,2130,0,36.050607621670,1.003845753617,80741,-1,13011104,87,248,645,ok
jdd-bdd,all,8,200,8,1,ft8_r200_a8_s1,840,288,341,0.57,232176,22.213,9.100,369.214,17.405,417.932,7057,9880,0,64.075068295002,1.000075519790,-1,-1,129948466,429,-1,-1,ok
ndd,all,8,200,8,1,ft8_r200_a8_s1,840,288,341,0.42,249312,34.360,9.031,203.814,16.448,263.653,7057,9880,0,64.075068295002,1.000075519790,34055,94156,-1,-1,-1,-1,ok
gcflobdd/field-grouped,all,8,200,8,1,ft8_r200_a8_s1,840,288,341,1.53,331936,50.693,17.115,1246.591,18.661,1333.060,7057,9880,0,64.075068295002,1.000075519790,97983,-1,72836592,21,34,141,ok
gcflobdd/aligned-balanced,all,8,200,8,1,ft8_r200_a8_s1,840,288,341,1.01,294112,38.720,12.634,701.564,19.174,772.093,7057,9880,0,64.075068295002,1.000075519790,273483,-1,45121008,175,491,1258,ok
gcflobdd/aligned-balanced-shared,all,8,200,8,1,ft8_r200_a8_s1,840,288,341,0.98,296512,35.125,11.400,675.236,19.212,740.973,7057,9880,0,64.075068295002,1.000075519790,271182,-1,44880336,112,346,905,ok
jdd-bdd,all,10,250,8,1,ft10_r250_a8_s1,1500,450,581,1.38,382048,27.502,17.151,1106.001,60.927,1211.581,21497,36215,0,100.097943484783,1.000075813170,-1,-1,129948466,379,-1,-1,ok
ndd,all,10,250,8,1,ft10_r250_a8_s1,1500,450,581,0.84,444592,42.214,13.874,565.953,59.572,681.613,21497,36215,0,100.097943484783,1.000075813170,87316,143137,-1,-1,-1,-1,ok
gcflobdd/field-grouped,all,10,250,8,1,ft10_r250_a8_s1,1500,450,581,5.00,952960,62.337,24.818,4388.880,64.828,4540.862,21497,36215,0,100.097943484783,1.000075813170,250990,-1,198151352,20,28,115,ok
gcflobdd/aligned-balanced,all,10,250,8,1,ft10_r250_a8_s1,1500,450,581,3.36,933760,46.626,17.923,2563.266,60.622,2688.438,21497,36215,0,100.097943484783,1.000075813170,799209,-1,146340640,154,413,1044,ok
gcflobdd/aligned-balanced-shared,all,10,250,8,1,ft10_r250_a8_s1,1500,450,581,3.34,932736,47.537,16.940,2565.095,60.629,2690.201,21497,36215,0,100.097943484783,1.000075813170,796222,-1,146034480,101,299,763,ok
jdd-bdd,all,12,300,8,1,ft12_r300_a8_s1,2460,648,896,5.04,766336,34.514,20.515,4581.742,234.482,4871.253,81993,100422,0,144.109157562256,1.000106983392,-1,-1,134142658,405,-1,-1,ok
