impl,algo,p,qubits,seed,wall_s,peak_rss_kb,duration_ms,duration_us,nodes,edges,total,correct,status
rust,qft,1,2,1,0.00,4120,0,77,3,2,5,1,ok
cpp,qft,1,2,1,0.38,866740,0,,5,35,40,na,ok
rust,qft,1,2,2,0.00,4340,0,128,2,3,5,1,ok
cpp,qft,1,2,2,0.39,866620,0,,5,35,40,na,ok
rust,qft,1,2,3,0.00,4100,0,126,2,3,5,1,ok
cpp,qft,1,2,3,0.38,866884,0,,5,20,25,na,ok
rust,qft,2,4,1,0.00,4316,0,270,5,4,9,1,ok
cpp,qft,2,4,1,0.39,867016,0,,9,60,69,na,ok
rust,qft,2,4,2,0.00,4356,0,233,4,5,9,1,ok
cpp,qft,2,4,2,0.39,866632,0,,9,71,80,na,ok
rust,qft,2,4,3,0.00,4292,0,341,3,8,11,1,ok
cpp,qft,2,4,3,0.39,866628,0,,7,83,90,na,ok
rust,qft,3,8,1,0.00,4348,0,900,7,22,29,1,ok
cpp,qft,3,8,1,0.39,866828,2,,9,635,644,na,ok
rust,qft,3,8,2,0.00,4484,1,1482,7,22,29,1,ok
cpp,qft,3,8,2,0.39,866884,2,,9,635,644,na,ok
rust,qft,3,8,3,0.00,4484,1,1035,6,15,21,1,ok
cpp,qft,3,8,3,0.39,866832,2,,9,635,644,na,ok
rust,qft,4,16,1,0.07,38776,69,69324,5,282,287,1,ok
cpp,qft,4,16,1,0.55,906900,165,,15,66483,66498,na,ok
rust,qft,4,16,2,0.06,27984,54,54103,9,168,177,1,ok
cpp,qft,4,16,2,0.60,927580,211,,11,132227,132238,na,ok
rust,qft,4,16,3,0.06,38476,57,57631,5,282,287,1,ok
cpp,qft,4,16,3,0.60,924824,190,,11,132227,132238,na,ok
