impl,algo,p,qubits,seed,wall_s,peak_rss_kb,duration_ms,duration_us,nodes,edges,total,correct,status
rust,ghz,1,2,na,0.00,4160,0,40,2,3,5,1,ok
cpp,ghz,1,2,na,0.40,866812,1,,12,69,81,1,ok
rust,ghz,2,4,na,0.00,4100,0,90,7,13,20,1,ok
cpp,ghz,2,4,na,0.38,866784,2,,19,111,130,1,ok
rust,ghz,3,8,na,0.00,4324,0,250,11,23,34,1,ok
cpp,ghz,3,8,na,0.38,867148,2,,27,159,186,1,ok
rust,ghz,4,16,na,0.00,4104,0,326,15,33,48,1,ok
cpp,ghz,4,16,na,0.40,866768,2,,35,207,242,1,ok
rust,ghz,5,32,na,0.00,4460,0,665,19,43,62,1,ok
cpp,ghz,5,32,na,0.39,866880,2,,43,255,298,1,ok
rust,ghz,6,64,na,0.00,4732,2,2092,23,53,76,1,ok
cpp,ghz,6,64,na,0.39,867324,3,,51,303,354,1,ok
rust,ghz,7,128,na,0.00,4644,2,2665,27,63,90,1,ok
cpp,ghz,7,128,na,0.40,867396,4,,59,351,410,1,ok
rust,ghz,8,256,na,0.01,5848,7,7072,31,73,104,1,ok
cpp,ghz,8,256,na,0.40,867584,7,,67,399,466,1,ok
rust,bv,1,2,1,0.00,4320,0,116,6,9,15,1,ok
cpp,bv,1,2,1,0.39,866916,1,,11,63,74,1,ok
rust,bv,1,2,2,0.00,4324,0,56,6,9,15,1,ok
cpp,bv,1,2,2,0.38,866068,1,,9,42,51,1,ok
rust,bv,1,2,3,0.00,4404,0,90,6,9,15,1,ok
cpp,bv,1,2,3,30.04,863548,,,,,,na,timeout
rust,bv,2,4,1,0.00,4272,0,84,10,19,29,1,ok
rust,bv,2,4,2,0.00,4244,0,101,10,19,29,1,ok
rust,bv,2,4,3,0.00,4384,0,114,11,22,33,1,ok
rust,bv,3,8,1,0.00,4240,0,151,16,35,51,1,ok
rust,bv,3,8,2,0.00,4304,0,151,16,35,51,1,ok
rust,bv,3,8,3,0.00,4376,0,143,16,35,51,1,ok
rust,bv,4,16,1,0.00,4460,0,325,23,54,77,1,ok
rust,bv,4,16,2,0.00,4072,0,457,24,57,81,1,ok
rust,bv,4,16,3,0.00,4216,0,457,23,54,77,1,ok
rust,bv,5,32,1,0.00,4372,0,596,33,82,115,1,ok
rust,bv,5,32,2,0.00,4460,0,566,33,82,115,1,ok
rust,bv,5,32,3,0.00,4388,0,679,33,82,115,1,ok
rust,bv,6,64,1,0.00,4804,0,522,45,116,161,1,ok
rust,bv,6,64,2,0.00,4748,0,652,47,122,169,1,ok
rust,bv,6,64,3,0.00,4508,0,482,49,128,177,1,ok
rust,bv,7,128,1,0.00,5216,,,,,,na,exit101
rust,dj,1,2,1,0.00,4132,0,84,6,9,15,1,ok
cpp,dj,1,2,1,0.39,866780,2,,9,44,53,1,ok
rust,dj,1,2,2,0.00,4376,0,100,6,9,15,1,ok
cpp,dj,1,2,2,0.39,866404,1,,9,42,51,1,ok
rust,dj,1,2,3,0.00,4136,0,56,6,9,15,1,ok
cpp,dj,1,2,3,0.38,867176,2,,9,42,51,1,ok
rust,dj,2,4,1,0.00,4376,0,91,10,19,29,1,ok
cpp,dj,2,4,1,0.38,866864,2,,12,60,72,1,ok
rust,dj,2,4,2,0.00,4380,0,120,9,16,25,1,ok
cpp,dj,2,4,2,0.39,866472,1,,12,58,70,1,ok
rust,dj,2,4,3,0.00,3924,0,212,10,19,29,1,ok
cpp,dj,2,4,3,0.39,866664,2,,12,58,70,1,ok
rust,dj,3,8,1,0.00,4372,0,191,14,29,43,1,ok
cpp,dj,3,8,1,0.39,867120,2,,15,76,91,1,ok
rust,dj,3,8,2,0.00,4368,0,169,12,23,35,1,ok
cpp,dj,3,8,2,0.39,866972,1,,15,74,89,1,ok
rust,dj,3,8,3,0.00,4368,0,243,14,29,43,1,ok
cpp,dj,3,8,3,0.38,867204,1,,15,74,89,1,ok
rust,dj,4,16,1,0.00,4600,0,254,18,39,57,1,ok
cpp,dj,4,16,1,0.40,867200,2,,18,92,110,1,ok
rust,dj,4,16,2,0.00,4336,0,252,15,30,45,1,ok
cpp,dj,4,16,2,0.39,866636,2,,18,90,108,1,ok
rust,dj,4,16,3,0.00,4756,0,243,18,39,57,1,ok
cpp,dj,4,16,3,0.39,866864,1,,18,90,108,1,ok
rust,dj,5,32,1,0.00,4480,0,398,22,49,71,1,ok
cpp,dj,5,32,1,0.40,867080,2,,21,108,129,1,ok
rust,dj,5,32,2,0.00,4364,0,256,18,37,55,1,ok
cpp,dj,5,32,2,0.39,866900,2,,21,106,127,1,ok
rust,dj,5,32,3,0.00,4492,0,464,22,49,71,1,ok
cpp,dj,5,32,3,0.39,866884,2,,21,106,127,1,ok
rust,dj,6,64,1,0.00,4912,0,657,26,59,85,1,ok
cpp,dj,6,64,1,0.39,867428,2,,24,124,148,1,ok
rust,dj,6,64,2,0.00,4128,0,367,21,44,65,1,ok
cpp,dj,6,64,2,0.40,866844,2,,24,122,146,1,ok
rust,dj,6,64,3,0.00,4728,0,265,26,59,85,1,ok
cpp,dj,6,64,3,0.41,866704,2,,24,122,146,1,ok
rust,dj,7,128,1,0.00,5288,,,,,,na,exit101
cpp,dj,7,128,1,0.39,867244,2,,27,140,167,1,ok
cpp,dj,7,128,2,0.40,866652,2,,27,138,165,1,ok
cpp,dj,7,128,3,0.38,867008,2,,27,138,165,1,ok
cpp,dj,8,256,1,0.39,867616,2,,30,156,186,1,ok
cpp,dj,8,256,2,0.38,866856,2,,30,154,184,1,ok
cpp,dj,8,256,3,0.38,867024,2,,30,154,184,1,ok
